"PTor-timestamp","PTor-servo1","PTor-servo4","PTor-servo5","PTor-servo2","PTor-servo3","PTor-servo6","DTor-timestamp","DTor-servo1","DTor-servo4","DTor-servo5","DTor-servo2","DTor-servo3","DTor-servo6",,"PTal-timestamp","PTal-servo1","PTal-servo4","PTal-servo5","PTal-servo2","PTal-servo3","PTal-servo6","DTal-timestamp","DTal-servo1","DTal-servo4","DTal-servo5","DTal-servo2","DTal-servo3","DTal-servo6","operationApplied",
"1900","","","","","","","1900","","","","","",""," ","2000","","","","","","","1700","","","","","","","Match"
"2000","","","","","","","2000","","","","","",""," ","2100","","","","","","","1800","","","","","","","Match"
"2100","","","","","","","2100","","","","","",""," ","2200","","","","","","","1900","","","","","","","Match"
"2200","","","","","","","2200","","","","","",""," ","2300","","","","","","","2000","","","","","","","Match"
"2300","","","","","","","2300","","","","","",""," ","2400","","","","","","","2100","","","","","","","Match"
"2400","","","","","","","2400","","","","","",""," ","2500","","","","","","","2200","","","","","","","Match"
"2500","","","","","","","2500","","","","","",""," ","2600","","","","","","","2300","","","","","","","Match"
"2600","","","","","","","2600","","","","","",""," ","2700","","","","","","","2400","","","","","","","Match"
"2700","","","","","","","2700","","","","","",""," ","2800","","","","","","","2500","","","","","","","Match"
"2800","","","","","","","2800","","","","","",""," ","2900","","","","","","","2600","","","","","","","Match"
"2900","","","","","","","2900","","","","","",""," ","3000","","","","","","","2700","","","","","","","Match"
"3000","","","","","","","3000","","","","","",""," ","3100","","","","","","","2800","","","","","","","Match"
"3100","","","","","","","3100","","","","","",""," ","3200","","","","","","","2900","","","","","","","Match"
"3200","","","","","","","3200","","","","","",""," ","3300","","","","","","","3000","","","","","","","Match"
"3300","","","","","","","3300","","","","","",""," ","3400","","","","","","","3100","","","","","","","Match"
"3400","","","","","","","3400","","","","","",""," ","3500","","","","","","","3200","","","","","","","Match"
"3500","","","","","","","3500","","","","","",""," ","3600","","","","","","","3300","","","","","","","Match"
"3600","","","","","","","3600","","","","","",""," ","3700","","","","","","","3400","","","","","","","Match"
"3700","","","","","","","3700","","","","","",""," ","3800","","","","","","","3500","","","","","","","Match"
"3800","","","","","","","3800","","","","","",""," ","3900","","","","","","","3600","","","","","","","Match"
"3900","","","","","","","3900","","","","","",""," ","4000","","","","","","","3700","","","","","","","Match"
"4000","","","","","","","4000","","","","","",""," ","4100","","","","","","","3800","","","","","","","Match"
"4100","","","","","","","4100","","","","","",""," ","4200","","","","","","","3900","","","","","","","Match"
"4200","","","","","","","4200","","","","","",""," ","4300","","","","","","","4000","","","","","","","Match"
"4300","","","","","","","4300","","","","","",""," ","4400","","","","","","","4100","","","","","","","Match"
"4400","","","","","","","4400","","","","","",""," ","4500","","","","","","","4200","","","","","","","Match"
"4500","","","","","","","4500","","","","","",""," ","4600","","","","","","","4300","","","","","","","Match"
"4600","","","","","","","4600","","","","","",""," ","4700","","","","","","","4400","","","","","","","Match"
"4700","","","","","","","4700","","","","","",""," ","4800","","","","","","","4500","","","","","","","Match"
"4800","","","","","","","4800","","","","","",""," ","4900","","","","","","","4600","","","","","","","Match"
"4900","","","","","","","4900","","","","","",""," ","5000","","","","","","","4700","","","","","","","Match"
"5000","","","","","","","5000","","","","","",""," ","5100","","","","","","","4800","","","","","","","Match"
"5100","","","","","","","5100","","","","","",""," ","5200","","","","","","","4900","","","","","","","Match"
"5200","","","","","","","5200","","","","","",""," ","5300","","","","","","","5000","","","","","","","Match"
"5300","","","","","","","5300","","","","","",""," ","5400","","","","","","","5100","","","","","","","Match"
"5400","","","","","","","5400","","","","","",""," ","5500","","","","","","","5200","","","","","","","Match"
"5500","","","","","","","5500","","","","","",""," ","5600","","","","","","","5300","","","","","","","Match"
"5600","","","","","","","5600","","","","","",""," ","5700","","","","","","","5400","","","","","","","Match"
"5700","","","","","","","5700","","","","","",""," ","5800","","","","","","","5500","","","","","","","Match"
"5800","","","","","","","5800","","","","","",""," ","5900","","","","","","","5600","","","","","","","Match"
"5900","","","","","","","5900","","","","","",""," ","6000","","","","","","","5700","","","","","","","Match"
"6000","","","","","","","6000","","","","","",""," ","6100","","","","","","","5800","","","","","","","Match"
"6100","","","","","","","6100","","","","","",""," ","6200","","","","","","","5900","","","","","","","Match"
"6200","","","","","","","6200","","","","","",""," ","6300","","","","","","","6000","","","","","","","Match"
"6300","","","","","","","6300","","","","","",""," ","6400","","","","","","","6100","","","","","","","Match"
"6400","","","","","","","6400","","","","","",""," ","6500","","","","","","","6200","","","","","","","Match"
"6500","","","","","","","6500","","","","","",""," ","6600","","","","","","","6300","","","","","","","Match"
"6600","","","","","","","6600","","","","","",""," ","6700","","","","","","","6400","","","","","","","Match"
"6700","","","","","","","6700","","","","","",""," ","6800","","","","","","","6500","","","","","","","Match"
"6800","","","","","","","6800","","","","","",""," ","6900","","","","","","","6600","","","","","","","Match"
"6900","","","","","","","6900","","","","","",""," ","7000","","","","","","","6700","","","","","","","Match"
"7000","","","","","","","7000","","","","","",""," ","7100","","","","","","","6800","","","","","","","Match"
"7100","","","","","","","7100","","","","","",""," ","7200","","","","","","","6900","","","","","","","Match"
"7200","","","","","","","7200","","","","","",""," ","7300","","","","","","","7000","","","","","","","Match"
"7300","","","","","","","7300","","","","","",""," ","7400","","","","","","","7100","","","","","","","Match"
"7400","","","","","","","7400","","","","","",""," ","7500","","","","","","","7200","","","","","","","Match"
"7500","","","","","","","7500","","","","","",""," ","7600","","","","","","","7300","","","","","","","Match"
"7600","","","","","","","7600","","","","","",""," ","7700","","","","","","","7400","","","","","","","Match"
"7700","","","","","","","7700","","","","","",""," ","7800","","","","","","","7500","","","","","","","Match"
"7800","","","","","","","7800","","","","","",""," ","7900","","","","","","","7600","","","","","","","Match"
"7900","","","","","","","7900","","","","","",""," ","8000","","","","","","","7700","","","","","","","Match"
"8000","","","","","","","8000","","","","","",""," ","8100","","","","","","","7800","","","","","","","Match"
"8100","","","","","","","8100","","","","","",""," ","8200","","","","","","","7900","","","","","","","Match"
"8200","","","","","","","8200","","","","","",""," ","8300","","","","","","","8000","","","","","","","Match"
"8300","","","","","","","8300","","","","","",""," ","8400","","","","","","","8100","","","","","","","Match"
"8400","","","","","","","8400","","","","","",""," ","8500","","","","","","","8200","","","","","","","Match"
"8500","","","","","","","8500","","","","","",""," ","8600","","","","","","","8300","","","","","","","Match"
"8600","","","","","","","8600","","","","","",""," ","8700","","","","","","","8400","","","","","","","Match"
"8700","","","","","","","8700","","","","","",""," ","8800","","","","","","","8500","","","","","","","Match"
"8800","","","","","","","8800","","","","","",""," ","8900","","","","","","","8600","","","","","","","Match"
"8900","","","","","","","8900","","","","","",""," ","9000","","","","","","","8700","","","","","","","Match"
"9000","","","","","","","9000","","","","","",""," ","9100","","","","","","","8800","","","","","","","Match"
"9100","","","","","","","9100","","","","","",""," ","9200","","","","","","","8900","","","","","","","Match"
"9200","","","","","","","9200","","","","","",""," ","9300","","","","","","","9000","","","","","","","Match"
"9300","","","","","","","9300","","","","","",""," ","9400","","","","","","","9100","","","","","","","Match"
"9400","","","","","","","9400","","","","","",""," ","9500","","","","","","","9200","","","","","","","Match"
"9500","","","","","","","9500","","","","","",""," ","9600","","","","","","","9300","","","","","","","Match"
"9600","","","","","","","9600","","","","","",""," ","9700","","","","","","","9400","","","","","","","Match"
"9700","","","","","","","9700","","","","","",""," ","9800","","","","","","","9500","","","","","","","Match"
"9800","","","","","","","9800","","","","","",""," ","9900","","","","","","","9600","","","","","","","Match"
"9900","","","","","","","9900","","","","","",""," ","10000","","","","","","","9700","","","","","","","Match"
"10000","","","","","","","10000","","","","","",""," ","10100","","","","","","","9800","","","","","","","Match"
"10100","","","","","","","10100","","","","","",""," ","10200","","","","","","","9900","","","","","","","Match"
"10200","","","","","","","10200","","","","","",""," ","10300","","","","","","","10000","","","","","","","Match"
"10300","","","","","","","10300","","","","","",""," ","10400","","","","","","","10100","","","","","","","Match"
"10400","","","","","","","10400","","","","","",""," ","10500","","","","","","","10200","","","","","","","Match"
"10500","","","","","","","10500","","","","","",""," ","10600","","","","","","","10300","","","","","","","Match"
"10600","","","","","","","10600","","","","","",""," ","10700","","","","","","","10400","","","","","","","Match"
"10700","","","","","","","10700","","","","","",""," ","10800","","","","","","","10500","","","","","","","Match"
"10800","","","","","","","10800","","","","","",""," ","10900","","","","","","","10600","","","","","","","Match"
"10900","","","","","","","10900","","","","","",""," ","11000","","","","","","","10700","","","","","","","Match"
"11000","","","","","","","11000","","","","","",""," ","11100","","","","","","","10800","","","","","","","Match"
"11100","","","","","","","11100","","","","","",""," ","11200","","","","","","","10900","","","","","","","Match"
"11200","","","","","","","11200","","","","","",""," ","11300","","","","","","","11000","","","","","","","Match"
"11300","","","","","","","11300","","","","","",""," ","11400","","","","","","","11100","","","","","","","Match"
"11400","","","","","","","11400","","","","","",""," ","11500","","","","","","","11200","","","","","","","Match"
"11500","","","","","","","11500","","","","","",""," ","11600","","","","","","","11300","","","","","","","Match"
"11600","","","","","","","11600","","","","","",""," ","11700","","","","","","","11400","","","","","","","Match"
"11700","","","","","","","11700","","","","","",""," ","11800","","","","","","","11500","","","","","","","Match"
"11800","","","","","","","11800","","","","","",""," ","11900","","","","","","","11600","","","","","","","Match"
"11900","","","","","","","11900","","","","","",""," ","12000","","","","","","","11700","","","","","","","Match"
"12000","","","","","","","12000","","","","","",""," ","12100","","","","","","","11800","","","","","","","Match"
"12100","","","","","","","12100","","","","","",""," ","12200","","","","","","","11900","","","","","","","Match"
"12200","","","","","","","12200","","","","","",""," ","12300","","","","","","","12000","","","","","","","Match"
"12300","","","","","","","12300","","","","","",""," ","12400","","","","","","","12100","","","","","","","Match"
"12400","","","","","","","12400","","","","","",""," ","12500","","","","","","","12200","","","","","","","Match"
"12500","","","","","","","12500","","","","","",""," ","12600","","","","","","","12300","","","","","","","Match"
"12600","","","","","","","12600","","","","","",""," ","12700","","","","","","","12400","","","","","","","Match"
"12700","","","","","","","12700","","","","","",""," ","12800","","","","","","","12500","","","","","","","Match"
"12800","","","","","","","12800","","","","","",""," ","12900","","","","","","","12600","","","","","","","Match"
"12900","","","","","","","12900","","","","","",""," ","13000","","","","","","","12700","","","","","","","Match"
"13000","","","","","","","13000","","","","","",""," ","13100","","","","","","","12800","","","","","","","Match"
"13100","","","","","","","13100","","","","","",""," ","13200","","","","","","","12900","","","","","","","Match"
"13200","","","","","","","13200","","","","","",""," ","13300","","","","","","","13000","","","","","","","Match"
"13300","","","","","","","13300","","","","","",""," ","13400","","","","","","","13100","","","","","","","Match"
"13400","","","","","","","13400","","","","","",""," ","13500","","","","","","","13200","","","","","","","Match"
"13500","","","","","","","13500","","","","","",""," ","13600","","","","","","","13300","","","","","","","Match"
"13600","","","","","","","13600","","","","","",""," ","13700","","","","","","","13400","","","","","","","Match"
"13700","","","","","","","13700","","","","","",""," ","13800","","","","","","","13500","","","","","","","Match"
"13800","","","","","","","13800","","","","","",""," ","13900","","","","","","","13600","","","","","","","Match"
"13900","","","","","","","13900","","","","","",""," ","14000","","","","","","","13700","","","","","","","Match"
"14000","","","","","","","14000","","","","","",""," ","14100","","","","","","","13800","","","","","","","Match"
"14100","","","","","","","14100","","","","","",""," ","14200","","","","","","","13900","","","","","","","Match"
"14200","","","","","","","14200","","","","","",""," ","14300","","","","","","","14000","","","","","","","Match"
"14300","","","","","","","14300","","","","","",""," ","14400","","","","","","","14100","","","","","","","Match"
"14400","","","","","","","14400","","","","","",""," ","14500","","","","","","","14200","","","","","","","Match"
