time;gFx;gFy;gFz;TgF
0.655925;-0.0078;-0.0112;1.0095;1.010
0.657783;-0.0090;-0.0098;1.0100;1.010
0.659688;-0.0095;-0.0105;1.0100;1.010
0.661193;-0.0088;-0.0112;1.0071;1.007
0.663382;-0.0088;-0.0122;1.0078;1.008
0.665374;-0.0100;-0.0122;1.0075;1.008
0.667546;-0.0086;-0.0120;1.0083;1.008
0.669892;-0.0090;-0.0115;1.0085;1.009
0.671740;-0.0095;-0.0117;1.0102;1.010
0.675688;-0.0095;-0.0107;1.0110;1.011
0.677826;-0.0103;-0.0110;1.0100;1.010
0.678744;-0.0100;-0.0122;1.0085;1.009
0.679976;-0.0095;-0.0125;1.0083;1.008
0.681880;-0.0100;-0.0125;1.0080;1.008
0.683603;-0.0103;-0.0115;1.0093;1.009
0.685503;-0.0086;-0.0112;1.0083;1.008
0.687684;-0.0090;-0.0105;1.0078;1.008
0.690731;-0.0090;-0.0107;1.0100;1.010
0.691919;-0.0095;-0.0112;1.0110;1.011
0.694625;-0.0100;-0.0107;1.0112;1.011
0.696340;-0.0105;-0.0105;1.0100;1.010
0.697812;-0.0103;-0.0095;1.0090;1.009
0.699769;-0.0090;-0.0105;1.0075;1.008
0.701808;-0.0078;-0.0107;1.0075;1.008
0.703702;-0.0076;-0.0105;1.0073;1.007
0.707690;-0.0064;-0.0090;1.0078;1.008
0.709839;-0.0086;-0.0103;1.0068;1.007
0.710304;-0.0088;-0.0103;1.0071;1.007
0.712334;-0.0083;-0.0105;1.0068;1.007
0.713439;-0.0081;-0.0112;1.0063;1.006
0.716158;-0.0081;-0.0110;1.0068;1.007
0.718263;-0.0076;-0.0129;1.0073;1.007
0.720896;-0.0081;-0.0129;1.0075;1.008
0.721521;-0.0105;-0.0134;1.0078;1.008
0.724486;-0.0103;-0.0129;1.0093;1.009
0.726748;-0.0103;-0.0137;1.0097;1.010
0.727598;-0.0103;-0.0144;1.0088;1.009
0.729484;-0.0105;-0.0149;1.0066;1.007
0.733332;-0.0105;-0.0149;1.0063;1.006
0.733740;-0.0120;-0.0159;1.0083;1.008
0.735614;-0.0125;-0.0161;1.0080;1.008
0.737491;-0.0125;-0.0169;1.0088;1.009
0.740006;-0.0127;-0.0149;1.0083;1.008
0.743737;-0.0127;-0.0144;1.0085;1.009
0.744422;-0.0117;-0.0139;1.0085;1.009
0.745247;-0.0127;-0.0110;1.0093;1.009
0.748309;-0.0144;-0.0107;1.0090;1.009
0.749566;-0.0139;-0.0105;1.0110;1.011
